id_transaction,trans_timestamp,amt,is_fraud,id_customer,id_geolocation,id_merchant,id_category
0c20530e90719213c442744161a1850b,1622367050,87.18,0,794-45-4364,46,2641132,12
984fc48fc946605deefc9d0967582811,1609183538,276.97,0,436-80-2340,60,2932280,5
b13ff47c73689bc4c8320c0ce403b15d,1655595319,7.67,0,385-77-6544,87,2708770,2
7cffae35cab67d9415f9f22d91ca7acc,1613234460,198.96,0,450-56-1117,138,1170872,10
22e01cb3403a4c7ce598ebe785e1e947,1605030979,33.46,0,397-54-0253,218,2470519,5
1d174d018228efcd1d5800f768628904,1608989049,2.74,0,248-09-7729,222,3436926,9
532536d65907e08d938cb31e3631ddd4,1650997797,1.23,0,277-12-7638,337,3750746,2
32d76f65b7512afbdc99331ee96bc6d7,1649986601,7.78,0,615-63-3623,718,3773961,2
c3f29bca602c9e2e9a188567f06d632f,1617032215,218.8,0,877-16-8226,747,2377216,10
c56ef2e4a43d867128839b97bc1dbb66,1609250028,62.1,0,823-85-5801,950,652447,5
4536b699eb5cc34695ef45c1b2851faf,1606693294,118.88,0,405-98-3408,964,1864384,5
2e264de99568063fcb8f88bb0cbe1b01,1597850241,85.14,0,296-96-6479,1090,3331465,5
08b2081e85f967230b6d5f3aecf4fbd1,1607627939,56.1,0,120-21-3601,1108,3274304,5
a515d05dda6a5dce6352520406b37078,1605387697,60.43,0,410-97-3989,2105,136622,5
0bdcd5d3f61a20fc3c085417e45caab1,1648971785,2.01,0,031-66-3742,2148,787067,1
c225fd0709a65956c2f2d87cc07024bc,1622189742,59.11,0,511-52-9251,2156,1517206,12
144480628d40f0653645766520287c71,1606914689,205.95,0,839-33-4415,2246,645164,9
ae4ea804e5db4c80e8869a58c729b215,1588697703,39.99,0,892-62-7211,2352,284930,4
87ffe1a28514f81d8a399ebb523fc172,1593727269,42.76,0,432-36-7641,2431,2515337,5
32467bc8cce7cb871884b874c0158e4a,1648825723,291.75,0,687-93-6553,2576,2690761,2
63878defa12c5ddb8cb7734a1a3f95b3,1623394712,1.87,0,751-22-8893,2799,524335,10
40bc65185e4223accf1b587996a47a7e,1671951450,31.13,0,885-90-9940,2904,125934,7
23543fd32c54ce11ac14c5c1559a2694,1608922161,96.03,0,700-22-8023,2989,3178358,9
d4a2989eac9173e1a482b98bfea18051,1670643392,2.28,0,444-51-5539,3013,3625563,7
5225550588fa4501a8aa10189ee18c75,1592428539,35.33,0,670-97-4056,3053,3426559,3
2da956b7a692e8cdf672860dcc2929f2,1649456518,6.71,0,696-98-1977,3148,3443389,2
13df4a93dc0902364325b7d08eb072d0,1647352860,5.97,0,140-01-6565,3360,3460348,1
130bb98a2ab0eb18aa315726b199cee3,1605640233,43.19,0,257-50-2019,3539,33977,9
ccd1c32f76f10459825211dc36d8f402,1594051104,5.03,0,500-22-5577,3908,250997,5
5627e25d2bfa4e111c1773f3cf763094,1655524471,33.7,0,876-27-7219,3911,3653940,1
eb31de96994dfc47316563228746c610,1653743607,31.45,0,880-84-9515,3964,2248319,2
9e90c479f77f15af45e023c707fb2107,1606591759,34.63,0,728-92-5432,4031,2210940,5
0a7ea63f0910cb68e1b37105b0e87205,1606485143,5.99,0,324-46-3295,4160,581532,5
c90f0c46a798b9154ddf4df52b4dd2d5,1597439521,70.33,0,608-23-1114,4686,1113705,5
4e0547252c04bcd3c323b978b39c5b92,1671881302,154.53,0,738-74-9827,4840,1306373,7
a632efe6d51bc00cf113bfa4f7bf6cbf,1618049888,151.28,0,537-32-0854,4934,1375673,10
6054976c04cdcda93e00fdf41fd86d8d,1613828690,43.63,0,777-91-3798,4945,3243485,9
4ee776b0530d9899464c70b35cea3e67,1603898085,2.4,0,059-25-1047,5074,3678066,5
9708b7b04c643f3cc04aae7eb80e4468,1591723525,44,0,325-05-6602,5201,9439,4
880cbb6cbe3199bca258cac2511a7dc2,1605463921,70.62,0,411-89-6919,5317,3029074,5
a7eba197e18ec1364c796561ab733c04,1649722220,126.44,0,727-71-4477,5476,2528266,2
042b388993d702d6187fe44bb46c701a,1615142810,122.24,0,789-51-5944,5516,2040103,10
468cee7ab39225b76a17fbc8bd99c63b,1660455185,2.7,0,069-60-6148,5545,2972657,2
9a2ed19cb728c130488a5c8e3639dd67,1672469528,74.93,0,707-22-0873,5556,3385574,7
4da6daaf242522004e06b537568f1ea0,1601312579,63.65,0,375-89-7065,5717,1791624,5
b5cb85752f3c5b00abfab74bda796568,1596127079,108.27,0,007-64-8525,5784,1506297,5
3b163ea35eba1973d22db09b5273b15e,1606844601,6.86,0,614-90-1202,5834,957152,5
3f3943c723fe5ebbbd0f388b06175fef,1610720133,80.5,0,806-32-7435,6320,3755373,5
803559d7ff53d31ef5ab24af022f2eae,1661003850,14.91,0,739-10-2235,14,1200823,2
4bb7183aaa83f61a7b71b79aff1a62a5,1670124211,115.3,0,303-94-8774,34,3300752,7
903f29485ef01ea367e4b542b10f993c,1653156343,7.47,0,227-40-0307,114,976750,2
0b787e75d47c0eec1e84d29929d225c6,1660183357,179.94,0,436-97-0180,151,1176813,2
70f01c77b8f8c39350394442735a2a62,1594481712,98.83,0,696-10-7969,155,3614048,5
974c765cfdb9b1a22964291500a21f2e,1663993800,163.39,0,667-72-6302,207,467902,6
e306d25b1f853bb51c8d29ab37d81b26,1587593913,61.29,0,471-11-0983,316,3223675,3
7da8131e4f2179dc9c9ad4eb6bbc75a0,1613408364,5.57,0,179-31-7869,332,1559692,10
3a0904f0501d8287157608ca1cdd1d4c,1616180758,8.02,0,039-18-6393,459,959566,10
8bebb5a8c5322b95b5497cf8e34f625f,1668937141,62.83,0,247-96-6776,545,3118067,7
46830bb01536c180be6464c6696cdc62,1590763101,98.68,0,735-61-6226,661,1915609,5
f8aa5258e81667c33e98f036ba7f3c27,1670827426,107.4,0,347-64-4811,930,583506,7
b9e98465ee1a442f15781b39c03379cf,1621428867,102.84,0,659-15-2383,1160,3154401,10
be707acb5515d5b5b53bf716cf13847f,1606265034,53.2,0,688-13-1103,1224,786552,5
2499d2068f4f6291615a447c9be8d25c,1671418694,1.23,0,356-31-8221,1244,2332314,7
1a4e603938ddfdbdb79ca60aac0ebe57,1599491903,4.79,0,453-14-3699,1289,2780591,5
2e52e8d04fa9d04d5ce8d742ef20c162,1621080090,34.08,0,472-42-1497,1387,474422,10
f78fa24c27c3acf1dc5acdbf69e743c8,1605716939,19.5,0,419-35-0499,1450,2620413,5
9b46f443c7b6fff6059059b80dfac286,1621138657,1.86,0,092-57-5045,1516,777974,10
2935cc7bea539c28dbe622ff9563ad0f,1592406165,80.71,0,462-94-0417,1741,2693593,5
ca3243163bc67d2eaf8a7c9e8130e92e,1598056911,58.55,0,163-17-0281,1758,2139347,4
c0662b3d04ba0dffdcb3cea3986d5fdf,1602183968,72.04,0,842-18-8421,1958,59127,5
4f2fc65c32dd91d6ba0f2b65bc84e35d,1589309717,42.56,0,137-93-2338,1974,7360,4
162ca46adf997ec20212c5ace9da824b,1622370698,9.12,0,867-29-9922,2083,612893,10
26e17c9705f80d2cc4c6a32e0409b7c4,1655111000,3.61,0,662-20-2561,2289,2046990,2
e961da105612989ce8ce2fd22f36680b,1607955878,55.47,0,055-68-1800,2389,283851,5
393a4a312eb7b72e6612d256dd87772e,1592430054,34.87,0,432-36-7641,2431,191355,5
93d7eafcdc6afa598af9fc272559f4bd,1671195255,67.25,0,779-54-6256,2474,868147,7
9ed4b923c09bdb94d0f1b81a5ba03df1,1603401428,82.1,0,319-17-4799,2573,759816,5
2140af13ed1419ef276b52fb29b29165,1607197641,207.29,0,686-79-8096,2698,3610080,9
6635e98122ac1814ff678a5149e83c15,1610818061,336.66,0,435-04-0146,2843,871266,10
8b0b634d3c5490e6098c095bc1e390b9,1606940923,212.75,0,641-66-7278,2945,3598119,9
41618c252cf85d04dec2cc0a9ceb667f,1595445921,75.81,0,754-30-1124,3137,1965931,4
0912ddb6a20b429c34892d113ae961eb,1611946935,84.18,0,546-71-4568,3168,2048175,10
1498e1605b88026a3f5a07bd2a3ff931,1606936386,21.57,0,721-70-8786,3224,1477679,5
efeb41f75868fad071969f516b068c38,1593298370,57.67,0,674-57-3861,3452,366147,4
411682a49b6dd7cfbf51f0413b636c43,1645748019,81.15,0,636-63-3789,3569,286840,1
05704313786f2a9b435383e81ed2f8a4,1648941359,6.84,0,017-69-9557,3669,460317,2
a8d31d1c1efb47536c2071033cc4dd29,1658042897,9.17,0,309-14-1007,3783,1980573,2
8af95f16835a2e79081e9b54f79bed7e,1591826721,211.89,0,140-20-0740,3800,40445,4
f82de83a8182a4c939abfb398adcbf03,1658462897,120.57,0,161-74-0008,3822,3677231,2
bafead5ae158168e26f3de6f679f2edf,1653633639,11.2,0,358-05-7479,3835,1024692,2
936af9993e9880cdf4dfe5f5d9466af7,1651268746,61.66,0,492-15-4764,3881,1868322,2
ff45b6615565147f0f6697ab6a0e8f96,1594170438,211.86,0,331-27-1528,3897,1935670,5
0eb2677f06b4fdae54c61a083416774f,1593267058,84.25,0,254-38-4406,4041,1243489,5
544cce502a56179142b7bbc5c38f89ec,1623046686,10.68,0,276-34-5016,4057,3562505,10
5d93f3feb52449db4134a8375a2172b0,1612629978,16.59,0,424-46-5567,4375,2741990,10
d2ce1bda9d87ff1abe4863804c563c77,1603558926,58.38,0,393-19-4551,4407,3584003,5
3d15f4be2065ba23e2389c109c3b63ab,1609961361,49.68,0,524-06-6944,4458,355100,5
09265aa23ec02454f76eff3c44f94f97,1596041418,88.25,0,196-97-1198,4485,3041647,5
a5156815c0643b62a0ab0b949f22d92e,1597366105,7.59,0,837-34-5206,4532,3817372,5
90bb798318c570b7becc39aa0d5afbcd,1654276793,91.81,0,672-85-8479,4542,2195846,2
73bb40a8f7c7e8ace03487c40420bc38,1648093279,163.05,0,424-36-9805,4974,253517,1
dd1b9e3b13468d3039771fbd11a09a10,1635078900,24.82,0,193-81-1548,5115,707709,13
8c38c810516d5bb852f76a8aa42e49b1,1618043392,23.74,0,361-70-3946,5307,30984,10
4a03e2de92bcfca591ad6a3b5e2cf13d,1610826597,68.65,0,480-18-7071,5318,1304042,10
f44236669f902d460417e34e70136214,1663929145,29.81,0,249-02-4442,5413,3021894,6
